"Time send/recv" Initialise Finalise nfields operation io_nodes servers_per_node client_nodes xios_version
7.411757679000061 2.000454300000001 0.0578406469999777 4 read 1 12 16 xios-2
0.8873586449981303 0.8800495450000199 67.91579846800005 32 write 4 1 1 xios-2
0.1523188540002138 1.2541547540000124 6.51805243299998 32 write 8 8 16 xios-2
0.0067214590003459 0.9219473590001144 1.0691842430001088 4 write 8 12 16 xios-3
0.0149411520001194 1.3922371619996738 6.641394746999595 16 write 4 12 16 xios-3
0.0037029119994258 1.2659818429997358 14.244609762999971 8 write 1 12 16 xios-2
0.0621470699998099 1.7314253020001615 23.33838519699998 16 write 1 12 16 xios-2
0.2103799949998119 0.7601005359999817 4.405296963999945 8 write 4 8 1 xios-2
0.0018583599999146 1.6153700449999633 32.8335666710002 4 write 4 1 16 xios-2
8.00205687100015 0.9305370399999902 0.0140949820001878 8 read 1 12 1 xios-2
10.728414457998497 2.019554153000172 0.0250050259996896 32 read 4 12 16 xios-2
0.0107678679999025 0.8365139689999523 4.6889112139999725 1 write 1 12 1 xios-2
0.1050472679999074 0.843377240999871 11.61640324400014 4 write 1 8 1 xios-2
0.0952272889999221 0.9456828200000018 8.268155276000016 4 write 1 12 1 xios-2
0.2969827230000419 1.6450304470000106 63.24676638400007 8 write 1 1 8 xios-2
0.0060352039999997 1.031385114999921 2.0417984630003048 1 write 4 1 8 xios-3
0.0039163960000223 1.4140506019999748 5.684194820000016 8 write 4 12 16 xios-2
0.8238689479999266 1.156356427999981 0.9744129240000348 1 read 1 12 8 xios-3
3.634974964999856 1.894077836000065 0.0368601279999438 4 read 4 12 16 xios-2
0.1294726590000436 0.9619329279999818 14.70966469999999 8 write 1 1 1 xios-3
2.869847911000079 1.0972340140001506 0.0270234519998666 1 read 4 12 8 xios-2
0.0113098449999142 1.0388035000000857 10.088138566999987 8 write 4 1 8 xios-3
1.259292900001583 1.2342760999999882 79.77912165399994 32 write 4 1 16 xios-2
0.0121186470000793 0.7383543290000034 6.58321601800003 1 write 1 8 1 xios-2
0.1453609889997551 0.9174403939998684 14.444299179999916 16 write 8 1 8 xios-2
0.0014812419999543 0.9627453920002154 6.245750829999906 1 write 1 12 8 xios-2
7.469303633999971 1.0254378009999527 0.0420269229999803 4 read 1 12 8 xios-2
